number,landmark,map-link,imgURL,remarks,navigate_to,map_iframe_src
NR121,Nalanda Classroom Complex,#,#,its just reamrks,https://goo.gl/maps/JhyVr84YScqGQ8SU7,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1845.4851933568204!2d87.31713717339139!3d22.316959689064724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a1d455b1e83d613%3A0xc1a6d7e2f6e2c82b!2sNalanda%20Classroom%20Complex!5e0!3m2!1sen!2sin!4v1594130047133!5m2!1sen!2sin
NR122,Nalanda Classroom Complex,#,#,its just reamrks,https://goo.gl/maps/JhyVr84YScqGQ8SU7,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1845.4851933568204!2d87.31713717339139!3d22.316959689064724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a1d455b1e83d613%3A0xc1a6d7e2f6e2c82b!2sNalanda%20Classroom%20Complex!5e0!3m2!1sen!2sin!4v1594130047133!5m2!1sen!2sin
NR123,Nalanda Classroom Complex,#,#,its just reamrks,https://goo.gl/maps/JhyVr84YScqGQ8SU7,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1845.4851933568204!2d87.31713717339139!3d22.316959689064724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a1d455b1e83d613%3A0xc1a6d7e2f6e2c82b!2sNalanda%20Classroom%20Complex!5e0!3m2!1sen!2sin!4v1594130047133!5m2!1sen!2sin
NR124,Nalanda Classroom Complex,#,#,its just reamrks,https://goo.gl/maps/JhyVr84YScqGQ8SU7,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1845.4851933568204!2d87.31713717339139!3d22.316959689064724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a1d455b1e83d613%3A0xc1a6d7e2f6e2c82b!2sNalanda%20Classroom%20Complex!5e0!3m2!1sen!2sin!4v1594130047133!5m2!1sen!2sin
NR221,Nalanda Classroom Complex,#,#,its just reamrks,https://goo.gl/maps/JhyVr84YScqGQ8SU7,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1845.4851933568204!2d87.31713717339139!3d22.316959689064724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a1d455b1e83d613%3A0xc1a6d7e2f6e2c82b!2sNalanda%20Classroom%20Complex!5e0!3m2!1sen!2sin!4v1594130047133!5m2!1sen!2sin
NR222,Nalanda Classroom Complex,#,#,its just reamrks,https://goo.gl/maps/JhyVr84YScqGQ8SU7,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1845.4851933568204!2d87.31713717339139!3d22.316959689064724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a1d455b1e83d613%3A0xc1a6d7e2f6e2c82b!2sNalanda%20Classroom%20Complex!5e0!3m2!1sen!2sin!4v1594130047133!5m2!1sen!2sin
NR223,Nalanda Classroom Complex,#,#,its just reamrks,https://goo.gl/maps/JhyVr84YScqGQ8SU7,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1845.4851933568204!2d87.31713717339139!3d22.316959689064724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a1d455b1e83d613%3A0xc1a6d7e2f6e2c82b!2sNalanda%20Classroom%20Complex!5e0!3m2!1sen!2sin!4v1594130047133!5m2!1sen!2sin
NR224,Nalanda Classroom Complex,#,#,its just reamrks,https://goo.gl/maps/JhyVr84YScqGQ8SU7,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1845.4851933568204!2d87.31713717339139!3d22.316959689064724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a1d455b1e83d613%3A0xc1a6d7e2f6e2c82b!2sNalanda%20Classroom%20Complex!5e0!3m2!1sen!2sin!4v1594130047133!5m2!1sen!2sin
NR321,Nalanda Classroom Complex,#,#,its just reamrks,https://goo.gl/maps/JhyVr84YScqGQ8SU7,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1845.4851933568204!2d87.31713717339139!3d22.316959689064724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a1d455b1e83d613%3A0xc1a6d7e2f6e2c82b!2sNalanda%20Classroom%20Complex!5e0!3m2!1sen!2sin!4v1594130047133!5m2!1sen!2sin
NR322,Nalanda Classroom Complex,#,#,its just reamrks,https://goo.gl/maps/JhyVr84YScqGQ8SU7,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1845.4851933568204!2d87.31713717339139!3d22.316959689064724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a1d455b1e83d613%3A0xc1a6d7e2f6e2c82b!2sNalanda%20Classroom%20Complex!5e0!3m2!1sen!2sin!4v1594130047133!5m2!1sen!2sin
NR323,Nalanda Classroom Complex,#,#,its just reamrks,https://goo.gl/maps/JhyVr84YScqGQ8SU7,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1845.4851933568204!2d87.31713717339139!3d22.316959689064724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a1d455b1e83d613%3A0xc1a6d7e2f6e2c82b!2sNalanda%20Classroom%20Complex!5e0!3m2!1sen!2sin!4v1594130047133!5m2!1sen!2sin
